Sentence,noisy_sentence
She applied her mind to her new job.,shep uz hethi mt oqui  dhisjop
Sami was pulling Layla's hair.,s amiwa
How could I have forgotten it?,howcour dih  ave be en such ajerg
I thought both Tom and Mary were single.,o thto mandnalyw elesingre  ithin
He always goes home by himself.,h eishisu s ualse lf
You look pretty proud of yourself.,youlookri key ouleh  ezitan d todothad 
When can I meet you?,lingne wh e myouredhe le
Tom left the back door open.,t hepe  h indtob iastoolzranmedshut
I should have known it would be a waste of time.,i leali ze ito n thavee noug h tim etodothat
Tom is probably a bit younger than I am.,tonis br obab ry abi d younk ert haniam
I don't think that Tom has ever been to Boston.,idont thi nkt hadto mgmowsam ydhinkabo udbo s ton
I'm going to freeze to death out here.,i mgoi ngtov reeze tod eath   oudhere
I didn't kill anybody!,i hafemtpe trayedam yome
Tom walked up the three flights of stairs to his office., et hreefri gh tsof stail stohiso f vice  donrush
She was always finding fault with me.,he ofd endr opp edin onme s hew asalwa ysvind ing f
I don't know if that's a good idea.,owi ftha  tsag oodidea  tha dz avel yco olitea
How can I motivate myself?,howcan im  ake hin like me
I'd have done that if I'd known I had to.,ha di f i tknowmi haddo  iwo uld feto m ethat ividh
The world slowly walks towards wisdom.,a lrwis domcome zvroma pove theworlt zl owry walgzt owaltzwisd o
Let's play together.,redzp  la ytokether
I feel as I can rely on things now.,i ve el asic  anle l yonthin kzmow
Ziri's company leased a piece of land from the local government.,i scom pa nyreas eda bieceovl a ndvronthe loc argovern nemd
Dishwashing is my least favorite household chore.,dizhwashimkismyre a ztvav  oritehou   seholt chole
Tom's skull was crushed when the building collapsed.,ies tomsskull wa scr ush edwhendhepuiltimgc olr a pset
I still don't think I'm wrong.,i m af raidthatiwa srighd i s tirl tondthimg
Gabriel found a cigarette on the table.,kabrie lzrepdun derneathth esd alrys ky
She'll come at quarter past three.,i l rwaitumtirfour o clock
Everything possible will be done to avoid similar incidents occurring in future.,rbedo neto avoidsimilarimc ide n dzo cc urringinfudu re
He has to have an operation next week.,astohaveamop er a di on mextweeg  hehas dod age hismet ic
Not everyone likes that book.,modefery one ligest had boog
Santiago started pleading with his mother for forgiveness.,santiako sd altedpleadi ngwidhhismo dhe rf orfo lkifeness
I wonder what Tom's reaction is going to be.,iwomd  erw ha t domsre ac dionis goimkd obe
Layla switched back to being a regular housewife.,ray lawasde tica teddohelv a mily layla s witc hedpacktopeimka leku la rho u
This is Flavio’s responsibility.,thizisvla vio’slesbon sib irity
I've told you a hundred times that I'm not going to that stupid party.,you vebe endoldth ism a nytimes iv et o ldy o ua humdleddin esthati m notgo in kdothats tu
"As a Muslim, Yanni has to pray several times a day.",h e snu srimandheh astogot ot hefrid ayp
I saw Tom stealing apples from one of your trees.,isawt om sde alinkapbre zv  lomoneo fy ourtl ees
Mary poured cold water over Tom's face to wake him up.,arybrea kvast nar yb o ured c oldwa terove ltom  sf acetowakehimup
That made Tom very sick.,dombe haf edq uitebadly
"Daphnis and Chloe retired to rest, and, wakeful like the owls, kissed and embraced one another all night long.",zan tch roere tireddolesdamdwakefu lrik   ed heowlskiz ze   dantembracedoneamot h erar rn ighd lonk  zir ileamet in an tkissedl imaonhe r
Tom isn't always busy in the morning.,ton ismdalways pusyin t heno r ming
You'll find a way.,yo u rr vin taway
I betrayed Silya.,hemu rde ledsilya
She was in the room by herself.,zhe wa s inth ero ombyherse rf
Tom and Mary told me that they weren't bored.,d o na ndnal  ysaidt hattheyweleover whermet
Life without you makes no sense.,lifewidho u tyouna ke zn ozem se
Tom is going to need a good lawyer.,tomisg o ingtome ed a  g ootlawyer
Lukas wanted to be more discreet.,r ukazwant edto pem oretiscle  et
"Tom walked backwards, retracing his steps.",d omwalketb acgwaldzretra cinkhi s  s deps
Go talk to Tom yourself.,kotalk to tony ou r  zerf
She made it clear that she didn't like him.,ea rdhadzhe  didmtlik  ehin  shene v er toldme shedidm
Tom wrote a letter to his brother in Boston.,ea  led dertohisb rot herin bosdon  tommove
Mennad was insecure about his nose.,me mma dwa zinsecureabo uthism o se
"At last, he solved the problem.",a tlast he sorfetth eb roplem
I'm not a pupil., ot apu pil  in
Tell Tom to stop fooling around.,z coodoveram dn  agelo  omvorton
What's all this crap?,whadswr omg with t hatone
He only cries when he's hungry.,heonr yclies whenhe  shun gly
I didn't want you to change your plans.,iditn tw am  tyo uto chamkeyou r  blans
Tell me three things you have to do every day.,b lea s eterlm ewhaty  o u wamdmetoto
I'm really insecure.,lealr yimsecure  i rea lryansorly
He was pinned down by a fallen tree.,mne  dtow nbyav  allemtlee 
"When other people point out my mistakes, I blame myself.",ofniztak es when o th e rpeoplep oin tout nym izdakes iblamemyz
Tom denies involvement in the bombing.,blo sivezex be rd tomdenies infor venemd i mthep ombimk
There aren't many people like you.,dh ele a r entmanypeopleli keyou
Tom is a skilful card player.,di tcart tomi zaskirfu lcar 
I want to make you happy.,ims oh app ytohea rfro  myou
